Tokens	Count
*	473979
@	320725
$	313871
#	209921
!	188397
&	130851
m	81198
\	75298
(	72822
p	53356
d	44539
1	43469
s	43279
i	42030
c	40409
b	38757
l	37512
[	35241
k	33176
r	32307
?	31688
j	31338
<	29958
a	29184
h	28422
	27529
f	27196
t	25298
n	24530
%	23811
g	22787
,	22760
v	19954
;	19602
w	19497
123	17787
100	17571
z	14882
``	12485
{	11041
love	10954
2	10810
e	10690
3	9938
ch	9708
pbkdf1\	9369
`	9198
my	8361
y	8341
12	7752
..	7675
)	7642
5	7628
me	7068
pa	7058
4	6731
7	6539
q	6463
sha256\:10000\	6365
sh	6325
the	6186
tr	6158
8	5747
x	5642
k.	5628
di	5382
br	5332
u	5239
st	5227
o	5226
9	4973
6	4741
password	4714
alex	4708
ma	4642
l\	4625
gr	4559
...	4556
d1	4393
re	4318
1234	4222
--	4209
]	4203
bl	4157
dr	4097
big	4071
de	4054
0	4028
fr	3989
pr	3900
mi	3892
friend	3844
angel	3803
pass	3745
link	3712
pl	3711
11	3550
sam	3537
un	3530
chri	3522
r3	3483
fuck	3471
sp	3460
123456	3440
cr	3440
mari	3402
>	3347
13	3319
el	3318
la	3314
ca	3223
cl	3106
10	3078
jesu	3056
sexi	2952
vb	2943
john	2930
red	2918
19	2913
linkedin	2866
fl	2823
12345	2818
abc	2815
be	2811
1e+14\	2810
babi	2783
qwerti	2777
david	2776
th	2743
al	2711
mike	2698
le	2680
1,00001e+14\	2671
lpl	2662
jack	2616
max	2606
king	2603
aa	2567
li	2518
mar	2472
ilov	2472
d3	2468
mu	2467
blue	2447
23	2432
ja	2427
jame	2416
happi	2413
ba	2413
daniel	2403
ab	2397
admin	2396
fk	2389
nokia	2387
new	2379
star	2363
jo	2347
.	2346
21	2337
da	2333
22	2322
black	2315
juli	2278
sk	2248
ju	2242
as	2232
sa	2214
im	2186
in	2173
mr	2170
m1	2161
20	2158
\\	2155
ph	2148
lucki	2141
je	2139
/	2137
zk.	2130
am	2123
cat	2118
dj	2102
money	2089
an	2077
14	2073
tiger	2069
hello	2067
asd	2056
ali	2055
he	2047
appl	2037
we	2036
god	2016
sm	2012
wh	2003
15	2002
no	1992
rock	1961
dragon	1958
jordan	1946
qu	1944
jay	1943
super	1940
welcom	1916
ram	1912
dan	1912
anna	1886
123456789	1883
raj	1871
25	1870
lil	1868
sc	1865
asdf	1835
24	1829
man	1826
mama	1826
ro	1825
te	1822
ben	1816
tom	1796
michael	1789
green	1788
go	1778
ra	1778
hot	1772
17	1772
a1	1762
qaz	1747
maria	1731
ve	1727
toni	1714
ð	1707
kr	1705
18	1695
na	1677
hs	1665
co	1662
se	1662
mom	1660
abc123	1658
abcd	1644
ak	1642
qwe	1641
abhi	1639
pe	1633
ar	1625
sl	1615
sw	1613
andr	1612
soccer	1608
ru	1608
mo	1600
kj	1600
ad	1598
nick	1596
jess	1596
~	1591
india	1587
ka	1583
hf	1574
cth	1573
sex	1569
ana	1568
hi	1568
^	1567
cool	1566
ash	1559
luca	1556
san	1554
ann	1545
po	1537
justin	1535
com\	1534
ravi	1527
sweet	1525
pink	1523
ha	1518
master	1517
leo	1515
monkey	1513
1\	1512
16	1504
gu	1501
mm	1499
sun	1499
bo	1498
94.173.154.198\	1496
thoma	1491
99	1484
kevin	1479
iam	1478
andrew	1472
joe	1471
mark	1470
h3	1468
rahul	1462
bella	1462
con	1461
ryan	1458
matt	1455
summer	1445
cj	1444
f1	1441
jan	1440
amit	1438
rj	1431
zaq	1430
qwertyuiop	1426
kt	1426
smile	1419
nicol	1415
em	1414
princ	1403
bu	1401
carlo	1397
ms	1393
lo	1393
