Mask	Count	Complexity	Length
?l?l?l?l?l?l?l?l	77734614	1.0	8.0
?l?l?l?l?l?l?l?l?l?l	12364481	1.0	10.0
?d?d?d?d?d?d?d?d	11335424	1.0	8.0
?l?l?l?l?l?l?d?d	11195994	2.0	8.0
?d?d?d?d?d?d?d?d?d?d	10517038	1.0	10.0
?l?l?l?l?l?l?l?l?d?d	10138314	2.0	10.0
?l?l?l?l?l?l?l?l?l	9856020	1.0	9.0
?l?l?l?l?d?d?d?d	8347772	2.0	8.0
?l?l?l?l?l?l?l?d?d	8177494	2.0	9.0
?l?l?l?l?l?l?d?d?d?d	8038544	2.0	10.0
?d?d?d?d?d?d?d?d?d?d?d?d?d?d?d	7374863	1.0	15.0
?l?l?l?l?l?d?d?d?d	7102659	2.0	9.0
?d?d?d?d?d?d?d?d?d	6849150	1.0	9.0
?l?l?l?l?l?l?d?d?d	6168473	2.0	9.0
?l?l?l?l?l?l?l?l?l?l?l	5544827	1.0	11.0
?l?l?l?l?l?l?l?l?l?d	5471504	2.0	10.0
?l?l?l?l?l?l?l?d	5389329	2.0	8.0
?l?l?l?l?l?l?l?l?d	5328087	2.0	9.0
?l?l?l?l?l?l?l?d?d?d	5051909	2.0	10.0
?l?l?l?l?l?d?d?d	4965099	2.0	8.0
?l?l?l?l?l?l?l?l?l?l?l?l	4372964	1.0	12.0
?d?d?d?d?d?d?d?d?d?d?d	4196853	1.0	11.0
?l?l?l?l?l?l?l?d?d?d?d	3529043	2.0	11.0
?l?l?d?d?d?d?d?d	3184362	2.0	8.0
?l?l?l?l?l?l?l?l?d?d?d	3154348	2.0	11.0
?l?l?l?d?d?d?d?d?d	3004795	2.0	9.0
?l?l?l?l?l?l?l?l?l?d?d	2950544	2.0	11.0
?l?l?l?l?l?l?l?l?l?l?l?l?l	2655426	1.0	13.0
?l?l?l?l?l?l?l?l?d?d?d?d	2649243	2.0	12.0
?l?l?l?l?d?d?d?d?d?d	2229426	2.0	10.0
?l?d?d?d?d?d?d?d	2057939	2.0	8.0
?l?l?l?l?l?l?l?l?l?l?d?d	2018968	2.0	12.0
?l?l?l?l?l?d?d?d?d?d	1875834	2.0	10.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l	1853761	1.0	14.0
?l?l?l?d?d?d?d?d	1819702	2.0	8.0
?d?d?d?d?d?d?l?l	1817241	2.0	8.0
?u?l?l?l?l?l?d?d	1684887	3.0	8.0
?d?d?d?d?d?d?d?l	1628339	2.0	8.0
?d?d?d?d?l?l?l?l	1535354	2.0	8.0
?l?l?l?l?l?l?l?l?l?d?d?d	1509205	2.0	12.0
?l?l?l?l?l?l?l?l?l?d?d?d?d	1462246	2.0	13.0
?l?d?d?d?d?d?d?d?d	1445013	2.0	9.0
?d?d?d?d?d?d?d?d?l	1434460	2.0	9.0
?l?l?l?l?d?d?d?d?d	1393421	2.0	9.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l	1349108	1.0	15.0
?d?d?d?d?d?d?l?l?l	1258434	2.0	9.0
?l?l?l?l?l?l?l?l?l?l?d	1247899	2.0	11.0
?l?l?l?l?l?d?d?d?d?d?d	1193346	2.0	11.0
?l?l?d?d?d?d?d?d?d?d	1165361	2.0	10.0
?l?l?l?d?d?d?d?d?d?d	1142575	2.0	10.0
?u?l?l?l?d?d?d?d	1132792	3.0	8.0
?u?l?l?l?l?l?l?d?d	1132317	3.0	9.0
?u?l?l?l?l?d?d?d?d	1129087	3.0	9.0
?u?l?l?l?l?l?d?d?d?d	1127775	3.0	10.0
?l?l?l?l?l?l?l?l?l?l?d?d?d?d	1123123	2.0	14.0
?l?l?l?l?l?l?l?l?l?l?l?d?d	1119266	2.0	13.0
?l?d?d?d?d?d?d?d?d?d	1106276	2.0	10.0
?l?l?l?l?l?l?d?d?d?d?d?d	1106123	2.0	12.0
?d?d?d?d?d?d?d?d?d?d?d?d	1097169	1.0	12.0
?l?l?d?d?d?d?d?d?d	1061640	2.0	9.0
?d?d?l?l?l?l?l?l	973495	2.0	8.0
?d?d?d?d?d?d?l?l?l?l	967028	2.0	10.0
?u?l?l?l?l?l?l?l?d?d	962412	3.0	10.0
