Mask	Count	Complexity	Length
?u?l?l?l?l?l?d?d	1697682	3.0	8.0
?u?l?l?l?d?d?d?d	1141611	3.0	8.0
?u?l?l?l?l?l?l?d?d	1141059	3.0	9.0
?u?l?l?l?l?d?d?d?d	1137770	3.0	9.0
?u?l?l?l?l?l?d?d?d?d	1136662	3.0	10.0
?u?l?l?l?l?l?l?l?d?d	969782	3.0	10.0
?u?l?l?l?l?l?l?d	798025	3.0	8.0
?u?l?l?l?l?d?d?d	782819	3.0	8.0
?u?l?l?l?l?l?d?d?d	745168	3.0	9.0
?u?l?l?l?l?l?l?l?d	737318	3.0	9.0
?u?l?l?l?l?l?l?d?d?d?d	595299	3.0	11.0
?l?l?l?l?l?l?s?d?d	503273	3.0	9.0
?u?l?l?l?l?l?l?l?l?d?d	501809	3.0	11.0
?u?l?l?l?l?l?l?d?d?d	488640	3.0	10.0
?u?l?l?l?l?l?l?l?l?d	484802	3.0	10.0
?u?l?l?l?l?d?d	453529	3.0	7.0
?l?l?l?l?l?s?d?d	442867	3.0	8.0
?u?l?l?l?l?l?l?l?d?d?d?d	392890	3.0	12.0
?l?l?l?l?l?l?l?s?d?d	380688	3.0	10.0
?l?l?l?l?l?l?d?d?s	312314	3.0	9.0
?u?l?l?l?l?l?l?l?d?d?d	309080	3.0	11.0
?u?l?l?l?l?l?l?l?l?l?d	305688	3.0	11.0
?l?l?l?l?l?l?s?d	294639	3.0	8.0
?u?l?l?l?l?l?l?l?l?l?d?d	293707	3.0	12.0
?u?l?l?l?l?l?d	278771	3.0	7.0
?u?l?d?d?d?d?d?d	270564	3.0	8.0
?l?l?l?l?s?d?d?d?d	264487	3.0	9.0
?l?l?l?l?l?s?d?d?d?d	257348	3.0	10.0
?l?l?l?l?s?d?d	255450	3.0	7.0
?l?l?l?l?l?l?l?l?s?d	252209	3.0	10.0
?u?l?l?l?d?d	228775	3.0	6.0
?l?l?l?l?l?l?l?s?d	228580	3.0	9.0
?l?l?l?l?l?l?s?d?d?d	223568	3.0	10.0
?u?l?l?l?d?d?d	219147	3.0	7.0
?l?l?l?l?l?l?l?d?d?s	215986	3.0	10.0
?l?l?l?s?d?d?d?d	212089	3.0	8.0
?u?l?l?d?d?d?d	199763	3.0	7.0
?u?l?l?d?d?d?d?d?d	199598	3.0	9.0
?l?l?l?l?l?s?d?d?d	193881	3.0	9.0
?u?l?l?l?l?l?l?l?l?d?d?d?d	193289	3.0	13.0
?l?l?l?l?l?d?d?s	182262	3.0	8.0
?l?l?l?l?s?d?d?d	179359	3.0	8.0
?u?l?l?l?l?l?l?l?l?d?d?d	178971	3.0	12.0
?u?l?l?l?d?d?d?d?d?d	175912	3.0	10.0
?u?l?l?l?l?l?l?l?l?l?l?d	173839	3.0	12.0
?l?l?l?l?l?l?s?d?d?d?d	169970	3.0	11.0
?u?l?l?l?l?d	165066	3.0	6.0
?u?l?l?l?l?l?d?d?s	164539	4.0	9.0
?l?l?l?l?l?l?d?s	164181	3.0	8.0
?l?l?l?l?l?l?l?l?s?d?d	155040	3.0	11.0
?l?l?l?l?l?l?l?d?s	155029	3.0	9.0
?u?l?l?d?d?d?d?d	153703	3.0	8.0
?l?l?l?l?l?s?d	153385	3.0	7.0
?l?l?l?l?l?l?l?l?d?s	152463	3.0	10.0
?l?l?l?l?d?d?d?d?s	152301	3.0	9.0
?u?l?l?l?l?d?d?d?d?d?d	148248	3.0	11.0
?u?l?l?l?l?d?d?d?d?d	146660	3.0	10.0
?l?l?l?l?l?d?d?d?d?s	146531	3.0	10.0
?u?l?l?l?l?l?l?l?l?l?l?d?d	134664	3.0	13.0
?u?l?l?l?d?d?d?d?d	132215	3.0	9.0
?l?l?l?l?l?l?d?d?d?s	130577	3.0	10.0
?l?l?l?u?u?u?d?d?d	128913	3.0	9.0
?u?l?l?l?l?l?s?d?d	126290	4.0	9.0
?l?l?l?s?d?d	123456	3.0	6.0
?u?l?l?l?l?l?d?d?d?d?d?d	122351	3.0	12.0
?l?l?l?l?l?d?d?d?s	116880	3.0	9.0
?u?l?l?l?l?l?d?d?d?d?d	112083	3.0	11.0
?u?l?l?l?l?l?l?d?d?s	106470	4.0	10.0
?l?l?l?l?l?l?l?s?d?d?d?d	105133	3.0	12.0
?l?l?l?l?l?l?l?l?d?d?s	104097	3.0	11.0
?u?l?l?l?l?l?l?l?l?l?d?d?d?d	103248	3.0	14.0
?u?l?d?d?d?d?d?d?d?d	102833	3.0	10.0
?l?l?l?l?l?l?d?d?d?d?s	102095	3.0	11.0
?l?l?l?s?d?d?d	98131	3.0	7.0
?u?l?l?l?l?s?d?d	97287	4.0	8.0
?u?l?l?l?l?l?l?l?l?l?l?l?d	95546	3.0	13.0
?l?l?l?l?d?d?s	94916	3.0	7.0
?l?l?l?d?d?d?d?s	94445	3.0	8.0
?u?l?l?d?d?d	92532	3.0	6.0
?u?l?l?l?l?l?l?l?l?l?d?d?d	90845	3.0	13.0
?l?l?l?l?l?l?l?s?d?d?d	90355	3.0	11.0
?l?l?l?l?s?d	89610	3.0	6.0
?l?l?l?l?l?l?l?l?l?s?d?d	86441	3.0	12.0
?u?l?d?d?d?d	84757	3.0	6.0
?u?l?l?l?l?l?l?s?d?d	83418	4.0	10.0
?u?l?l?l?l?l?s?d	83361	4.0	8.0
?d?d?d?d?u?l?l?l	83242	3.0	8.0
?u?l?l?l?d?d?d?d?s	82354	4.0	9.0
?d?d?d?d?d?d?u?l	82340	3.0	8.0
?u?l?l?l?l?d?d?d?d?s	80617	4.0	10.0
?d?s?d?d?d?d?d?u?s?d?d	80526	3.0	11.0
?l?d?l?s?d?l	79427	3.0	6.0
?l?l?l?l?d?d?d?s	78921	3.0	8.0
?u?l?l?l?l?l?l?l?d?d?s	76434	4.0	11.0
?u?l?l?l?l?s?d?d?d?d	76299	4.0	10.0
?u?l?l?l?l?l?l?d?s	75311	4.0	9.0
?u?l?l?l?l?l?d?d?d?d?s	73646	4.0	11.0
?u?l?l?l?s?d?d?d?d	72686	4.0	9.0
?u?l?l?l?l?l?l?l?l?l?l?l?d?d	72287	3.0	14.0
?l?l?l?l?l?l?l?l?s?d?d?d?d	69854	3.0	13.0
?u?l?l?l?l?l?l?l?d?s	68475	4.0	10.0
?d?d?u?l?l?l?l?l	67273	3.0	8.0
?l?l?l?l?l?d?s	66922	3.0	7.0
?u?l?l?l?l?l?l?s?d	66456	4.0	9.0
?d?u?l?l?l?l?l?l	66142	3.0	8.0
?u?l?d?d?d?d?d?d?d	64133	3.0	9.0
?u?l?l?l?l?l?l?d?d?d?d?d	63374	3.0	12.0
?u?l?l?l?l?l?d?d?d?s	62834	4.0	10.0
?u?l?l?l?d?d?d?d?d?d?d?d	62637	3.0	12.0
?u?l?l?l?l?l?s?d?d?d?d	62382	4.0	11.0
?u?l?l?l?l?d?d?d?s	61954	4.0	9.0
?l?l?l?l?l?l?l?l?s?d?d?d	61642	3.0	12.0
?u?l?l?l?l?d?d?s	61088	4.0	8.0
?u?l?l?u?l?l?d?d	60669	3.0	8.0
?u?u?u?l?l?l?d?d	59884	3.0	8.0
?u?l?l?l?l?s?d?d?d	59008	4.0	9.0
?u?l?l?d?d?d?d?d?d?d?d	58779	3.0	11.0
?d?d?d?d?u?l?l?l?l	58689	3.0	9.0
?l?l?l?l?l?l?l?d?d?d?s	57944	3.0	11.0
?u?l?l?l?l?l?l?d?d?d?d?d?d	57388	3.0	13.0
?l?l?s?d?d?d?d	56831	3.0	7.0
?u?l?l?l?l?l?s?d?d?d	56031	4.0	10.0
?u?l?l?l?l?l?d?s	55567	4.0	8.0
?l?l?l?l?l?l?l?l?l?s?d	55049	3.0	11.0
?l?l?l?l?l?l?l?d?d?d?d?s	54472	3.0	12.0
?l?l?l?l?l?u?u?d?d	53827	3.0	9.0
?l?l?l?l?l?l?l?l?l?d?s	53111	3.0	11.0
?l?l?l?l?l?l?l?l?l?d?d?s	53100	3.0	12.0
?u?l?l?l?l?l?l?l?s?d	53024	4.0	10.0
?u?l?l?l?l?l?l?l?s?d?d	51842	4.0	11.0
?u?l?l?d?d?l?l?l	50792	3.0	8.0
?u?u?l?l?l?l?d?d	50716	3.0	8.0
?u?l?l?l?d?l?l?l	50602	3.0	8.0
?u?l?l?l?l?l?l?l?l?l?l?d?d?d?d	50591	3.0	15.0
?u?l?l?l?u?l?l?l?d?d	50549	3.0	10.0
?u?l?l?l?l?d?d?d?d?d?d?d?d	50330	3.0	13.0
?d?d?d?d?u?l?l?l?l?l	49983	3.0	10.0
?l?l?l?l?l?l?d?d?s?s	48870	3.0	10.0
?u?l?l?d?l?l?l?l	48541	3.0	8.0
?l?l?l?s?d?d?d?d?d?d	48497	3.0	10.0
?u?l?l?l?l?l?d?l	47674	3.0	8.0
?u?l?l?l?l?l?l?l?l?l?l?l?l?d	47087	3.0	14.0
?u?d?l?l?l?l?l?l	47031	3.0	8.0
?u?l?l?l?l?l?l?s	46562	3.0	8.0
?u?l?l?l?s?d?d?d	46516	4.0	8.0
